Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
approach;C10F-formalin;1200.00-1500.00;5;4;8;5;2
approach;C10F-formalin;1500.00-1800.00;8;0;6;0;3
backarching;C7F-baseline;0.00-300.00;2;6;2;5;2
backarching;C7F-baseline;300.00-600.00;0;5;1;5;0
backarching;C7F-baseline;600.00-900.00;19;5;0;8;0
backarching;C7F-baseline;900.00-1200.00;0;3;6;19;0
backarching;C7F-baseline;1200.00-1500.00;1;0;2;0;1
backarching;C7F-baseline;1500.00-1800.00;0;1;0;4;0
backarching;C8F-baseline;0.00-300.00;0;0;4;3;3
backarching;C8F-baseline;300.00-600.00;1;9;3;2;7
backarching;C8F-baseline;600.00-900.00;1;4;1;4;2
backarching;C8F-baseline;900.00-1200.00;2;2;1;3;4
backarching;C8F-baseline;1200.00-1500.00;5;3;2;1;0
backarching;C8F-baseline;1500.00-1800.00;1;6;8;1;3
backarching;C9F-baseline;0.00-300.00;7;0;4;2;7
backarching;C9F-baseline;300.00-600.00;2;0;1;2;5
backarching;C9F-baseline;600.00-900.00;3;3;1;2;31
backarching;C9F-baseline;900.00-1200.00;7;4;3;7;5
backarching;C9F-baseline;1200.00-1500.00;2;17;8;26;0
backarching;C9F-baseline;1500.00-1800.00;4;4;6;19;5
backarching;C10-baseline;0.00-300.00;5;5;9;5;11
backarching;C10-baseline;300.00-600.00;19;5;10;2;11
backarching;C10-baseline;600.00-900.00;4;4;13;10;4
backarching;C10-baseline;900.00-1200.00;1;2;6;3;6
backarching;C10-baseline;1200.00-1500.00;0;15;0;0;9
backarching;C10-baseline;1500.00-1800.00;13;0;9;1;3
backarching;C7F-formalin;0.00-300.00;0;5;9;4;0
backarching;C7F-formalin;300.00-600.00;2;30;3;1;1
backarching;C7F-formalin;600.00-900.00;29;32;6;19;0
backarching;C7F-formalin;900.00-1200.00;98;73;23;19;2
backarching;C7F-formalin;1200.00-1500.00;4;47;0;4;0
backarching;C7F-formalin;1500.00-1800.00;73;24;7;5;0
backarching;C8F-formalin;0.00-300.00;3;18;6;0;5
backarching;C8F-formalin;300.00-600.00;21;66;0;2;2
backarching;C8F-formalin;600.00-900.00;22;30;4;2;15
backarching;C8F-formalin;900.00-1200.00;48;47;12;8;0
backarching;C8F-formalin;1200.00-1500.00;27;32;0;1;5
backarching;C8F-formalin;1500.00-1800.00;62;61;0;6;5
backarching;C9F-formalin;0.00-300.00;3;0;7;3;14
backarching;C9F-formalin;300.00-600.00;65;26;1;6;16
backarching;C9F-formalin;600.00-900.00;59;16;9;2;0
backarching;C9F-formalin;900.00-1200.00;34;15;14;1;0
backarching;C9F-formalin;1200.00-1500.00;32;23;4;4;0
backarching;C9F-formalin;1500.00-1800.00;16;26;5;14;9
backarching;C10F-formalin;0.00-300.00;0;7;1;0;5
backarching;C10F-formalin;300.00-600.00;91;61;16;11;6
backarching;C10F-formalin;600.00-900.00;56;28;21;0;10
backarching;C10F-formalin;900.00-1200.00;43;27;0;11;35
backarching;C10F-formalin;1200.00-1500.00;39;79;4;24;8
backarching;C10F-formalin;1500.00-1800.00;44;82;14;0;17
disputesfood;C7F-baseline;0.00-300.00;0;1;0;0;0
disputesfood;C7F-baseline;300.00-600.00;0;0;0;0;0
disputesfood;C7F-baseline;600.00-900.00;0;0;0;1;1
disputesfood;C7F-baseline;900.00-1200.00;0;0;0;0;0
disputesfood;C7F-baseline;1200.00-1500.00;0;0;1;0;1
disputesfood;C7F-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C8F-baseline;0.00-300.00;0;0;0;0;1
disputesfood;C8F-baseline;300.00-600.00;0;1;1;2;2
disputesfood;C8F-baseline;600.00-900.00;0;0;8;1;3
disputesfood;C8F-baseline;900.00-1200.00;0;2;2;0;0
disputesfood;C8F-baseline;1200.00-1500.00;0;0;0;0;1
disputesfood;C8F-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C9F-baseline;0.00-300.00;0;0;0;0;2
disputesfood;C9F-baseline;300.00-600.00;0;0;0;1;0
disputesfood;C9F-baseline;600.00-900.00;2;0;1;3;0
disputesfood;C9F-baseline;900.00-1200.00;8;2;0;0;0
disputesfood;C9F-baseline;1200.00-1500.00;0;2;0;0;0
disputesfood;C9F-baseline;1500.00-1800.00;3;0;0;0;0
disputesfood;C10-baseline;0.00-300.00;7;0;1;0;4
disputesfood;C10-baseline;300.00-600.00;3;0;2;1;0
disputesfood;C10-baseline;600.00-900.00;1;0;1;0;0
disputesfood;C10-baseline;900.00-1200.00;0;0;2;0;0
disputesfood;C10-baseline;1200.00-1500.00;0;0;0;0;0
disputesfood;C10-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C7F-formalin;0.00-300.00;0;0;1;0;1
disputesfood;C7F-formalin;300.00-600.00;0;0;1;0;0
disputesfood;C7F-formalin;600.00-900.00;0;0;0;0;0
disputesfood;C7F-formalin;900.00-1200.00;0;0;0;0;0
disputesfood;C7F-formalin;1200.00-1500.00;0;0;2;1;1
disputesfood;C7F-formalin;1500.00-1800.00;0;0;1;3;0
disputesfood;C8F-formalin;0.00-300.00;0;0;1;1;0
disputesfood;C8F-formalin;300.00-600.00;0;2;4;0;0
disputesfood;C8F-formalin;600.00-900.00;0;1;0;1;0
disputesfood;C8F-formalin;900.00-1200.00;0;0;0;0;2
disputesfood;C8F-formalin;1200.00-1500.00;0;0;0;0;0
disputesfood;C8F-formalin;1500.00-1800.00;0;0;0;0;2
disputesfood;C9F-formalin;0.00-300.00;0;0;1;0;0
disputesfood;C9F-formalin;300.00-600.00;0;0;1;0;0
disputesfood;C9F-formalin;600.00-900.00;0;0;0;0;0
disputesfood;C9F-formalin;900.00-1200.00;0;0;0;0;0
disputesfood;C9F-formalin;1200.00-1500.00;0;0;0;0;0
disputesfood;C9F-formalin;1500.00-1800.00;0;0;0;0;0
disputesfood;C10F-formalin;0.00-300.00;0;0;9;3;3
disputesfood;C10F-formalin;300.00-600.00;0;0;21;14;7
disputesfood;C10F-formalin;600.00-900.00;0;0;15;11;3
disputesfood;C10F-formalin;900.00-1200.00;0;0;0;0;1
disputesfood;C10F-formalin;1200.00-1500.00;0;0;0;3;2
disputesfood;C10F-formalin;1500.00-1800.00;0;0;0;0;0
escape;C7F-baseline;0.00-300.00;1;3;0;0;2
escape;C7F-baseline;300.00-600.00;0;0;0;0;0
escape;C7F-baseline;600.00-900.00;1;0;0;0;2
escape;C7F-baseline;900.00-1200.00;0;0;0;0;0
escape;C7F-baseline;1200.00-1500.00;0;0;0;0;0
escape;C7F-baseline;1500.00-1800.00;0;0;1;0;0
escape;C8F-baseline;0.00-300.00;0;1;0;0;2
escape;C8F-baseline;300.00-600.00;1;2;1;1;2
escape;C8F-baseline;600.00-900.00;3;0;0;2;0
escape;C8F-baseline;900.00-1200.00;0;1;0;1;0
escape;C8F-baseline;1200.00-1500.00;1;0;0;0;0
escape;C8F-baseline;1500.00-1800.00;0;1;0;0;0
escape;C9F-baseline;0.00-300.00;2;1;7;2;0
escape;C9F-baseline;300.00-600.00;2;0;1;0;1
escape;C9F-baseline;600.00-900.00;0;0;2;1;1
escape;C9F-baseline;900.00-1200.00;0;0;1;0;1
escape;C9F-baseline;1200.00-1500.00;3;0;1;0;0
escape;C9F-baseline;1500.00-1800.00;5;1;3;0;1
escape;C10-baseline;0.00-300.00;1;1;0;5;2
escape;C10-baseline;300.00-600.00;1;0;0;2;0
escape;C10-baseline;600.00-900.00;0;0;0;0;2
escape;C10-baseline;900.00-1200.00;0;0;0;1;0
escape;C10-baseline;1200.00-1500.00;0;0;0;0;0
escape;C10-baseline;1500.00-1800.00;0;0;0;0;0
escape;C7F-formalin;0.00-300.00;0;1;2;0;1
escape;C7F-formalin;300.00-600.00;0;0;1;0;0
escape;C7F-formalin;600.00-900.00;0;1;0;1;0
escape;C7F-formalin;900.00-1200.00;0;0;0;0;1
escape;C7F-formalin;1200.00-1500.00;0;2;1;0;4
escape;C7F-formalin;1500.00-1800.00;0;0;2;0;0
escape;C8F-formalin;0.00-300.00;4;1;1;0;1
escape;C8F-formalin;300.00-600.00;1;1;2;0;1
escape;C8F-formalin;600.00-900.00;0;2;2;0;1
escape;C8F-formalin;900.00-1200.00;1;3;1;0;0
escape;C8F-formalin;1200.00-1500.00;2;1;0;1;0
escape;C8F-formalin;1500.00-1800.00;0;1;0;1;2
escape;C9F-formalin;0.00-300.00;2;2;0;2;0
escape;C9F-formalin;300.00-600.00;0;1;1;3;0
escape;C9F-formalin;600.00-900.00;0;1;0;0;1
escape;C9F-formalin;900.00-1200.00;0;0;0;1;0
escape;C9F-formalin;1200.00-1500.00;0;2;1;0;0
escape;C9F-formalin;1500.00-1800.00;0;0;0;0;2
escape;C10F-formalin;0.00-300.00;0;0;1;1;0
escape;C10F-formalin;300.00-600.00;0;0;0;0;2
escape;C10F-formalin;600.00-900.00;0;0;1;5;1
escape;C10F-formalin;900.00-1200.00;2;0;0;1;1
escape;C10F-formalin;1200.00-1500.00;0;0;1;0;3
escape;C10F-formalin;1500.00-1800.00;0;0;0;1;0
huddling;C7F-baseline;0.00-300.00;0;0;0;0;0
huddling;C7F-baseline;300.00-600.00;47.1666;6.03333;0;80.6005;0
huddling;C7F-baseline;600.00-900.00;0;96.3999;0;13.6327;106.167
huddling;C7F-baseline;900.00-1200.00;173.134;42.3;0;0;239.032
huddling;C7F-baseline;1200.00-1500.00;288.533;260.635;50.3;0;196.301
huddling;C7F-baseline;1500.00-1800.00;221.598;138.265;0;0;197.832
huddling;C8F-baseline;0.00-300.00;0;2.73333;8.09999;5.63333;0
huddling;C8F-baseline;300.00-600.00;0;1.73333;0;0;0
huddling;C8F-baseline;600.00-900.00;0;0;0;0;0
huddling;C8F-baseline;900.00-1200.00;0;0;0;0;0
huddling;C8F-baseline;1200.00-1500.00;14.4667;3.93333;7.89999;101.668;0
huddling;C8F-baseline;1500.00-1800.00;0;5.83333;0;252.598;3.9
huddling;C9F-baseline;0.00-300.00;0;0;0;0;0
huddling;C9F-baseline;300.00-600.00;10.0003;9.00023;0;45.1678;0
huddling;C9F-baseline;600.00-900.00;0;25.4007;0;0;5.36681
huddling;C9F-baseline;900.00-1200.00;7.90021;69.5685;58.1348;0;1.50004
huddling;C9F-baseline;1200.00-1500.00;0;0;0;0;0
huddling;C9F-baseline;1500.00-1800.00;0;28.0674;0;0;0
huddling;C10-baseline;0.00-300.00;7.53333;0;4.63333;61.2002;10.8333
huddling;C10-baseline;300.00-600.00;0;0;0;4.1997;8.06666
huddling;C10-baseline;600.00-900.00;185.334;0;0;0;45.8666
huddling;C10-baseline;900.00-1200.00;245.267;6.30119;14.4679;164.068;91.6344
huddling;C10-baseline;1200.00-1500.00;279.5;95.232;261.133;286.933;79.4321
