Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
zaps;C5F-baseline;1200.00-1500.00;2;0;0;0;0
zaps;C5F-baseline;1500.00-1800.00;1;0;0;0;0
zaps;C6F-baseline;0.00-300.00;2;2;1;3;3
zaps;C6F-baseline;300.00-600.00;0;0;2;2;2
zaps;C6F-baseline;600.00-900.00;0;0;1;0;1
zaps;C6F-baseline;900.00-1200.00;0;0;1;1;1
zaps;C6F-baseline;1200.00-1500.00;0;0;1;0;0
zaps;C6F-baseline;1500.00-1800.00;0;0;1;0;0
zaps;C1F-formalin;0.00-300.00;1;3;0;3;0
zaps;C1F-formalin;300.00-600.00;1;1;2;2;2
zaps;C1F-formalin;600.00-900.00;1;4;5;2;1
zaps;C1F-formalin;900.00-1200.00;2;5;0;0;0
zaps;C1F-formalin;1200.00-1500.00;0;1;1;0;1
zaps;C1F-formalin;1500.00-1800.00;0;1;0;2;2
zaps;C2F-formalin;0.00-300.00;0;2;2;0;1
zaps;C2F-formalin;300.00-600.00;1;0;1;0;0
zaps;C2F-formalin;600.00-900.00;0;0;1;1;0
zaps;C2F-formalin;900.00-1200.00;1;0;2;4;1
zaps;C2F-formalin;1200.00-1500.00;2;0;0;1;0
zaps;C2F-formalin;1500.00-1800.00;2;0;0;0;0
zaps;C5F-formalin;0.00-300.00;0;0;0;0;1
zaps;C5F-formalin;300.00-600.00;2;0;2;1;2
zaps;C5F-formalin;600.00-900.00;2;0;0;0;1
zaps;C5F-formalin;900.00-1200.00;0;0;0;0;2
zaps;C5F-formalin;1200.00-1500.00;2;0;0;0;1
zaps;C5F-formalin;1500.00-1800.00;0;0;0;0;0
zaps;C6F-formalin;0.00-300.00;8;6;0;4;1
zaps;C6F-formalin;300.00-600.00;3;3;0;0;0
zaps;C6F-formalin;600.00-900.00;8;0;0;0;2
zaps;C6F-formalin;900.00-1200.00;3;3;0;0;0
zaps;C6F-formalin;1200.00-1500.00;3;1;1;0;0
zaps;C6F-formalin;1500.00-1800.00;3;0;2;0;0
rearing;C1F-baseline;0.00-300.00;7;3;4;5;5
rearing;C1F-baseline;300.00-600.00;1;1;2;3;6
rearing;C1F-baseline;600.00-900.00;3;1;6;4;9
rearing;C1F-baseline;900.00-1200.00;1;3;5;2;11
rearing;C1F-baseline;1200.00-1500.00;0;0;0;1;4
rearing;C1F-baseline;1500.00-1800.00;0;0;0;0;3
rearing;C2F-baseline;0.00-300.00;4;17;5;13;8
rearing;C2F-baseline;300.00-600.00;8;14;3;14;18
rearing;C2F-baseline;600.00-900.00;11;3;5;21;7
rearing;C2F-baseline;900.00-1200.00;2;6;2;2;5
