injection_area;phase;exp;ID;treatment;Behaviors;Intervals;totnb
paw;baseline;FH;G8M1;baseline;backscratching;3;0
paw;baseline;FH;G8M1;baseline;backscratching;4;5
paw;baseline;FH;G8M1;baseline;backscratching;5;2
paw;baseline;FH;G8M1;baseline;backscratching;6;3
paw;test;FH;G8M1;formalin;backscratching;1;2
paw;test;FH;G8M1;formalin;backscratching;2;12
paw;test;FH;G8M1;formalin;backscratching;3;6
paw;test;FH;G8M1;formalin;backscratching;4;2
paw;test;FH;G8M1;formalin;backscratching;5;4
paw;test;FH;G8M1;formalin;backscratching;6;8
paw;baseline;FH;G8M2;baseline;backscratching;1;0
paw;baseline;FH;G8M2;baseline;backscratching;2;0
paw;baseline;FH;G8M2;baseline;backscratching;3;0
paw;baseline;FH;G8M2;baseline;backscratching;4;0
paw;baseline;FH;G8M2;baseline;backscratching;5;0
paw;baseline;FH;G8M2;baseline;backscratching;6;5
paw;test;FH;G8M2;formalin;backscratching;1;0
paw;test;FH;G8M2;formalin;backscratching;2;0
paw;test;FH;G8M2;formalin;backscratching;3;0
paw;test;FH;G8M2;formalin;backscratching;4;0
paw;test;FH;G8M2;formalin;backscratching;5;1
paw;test;FH;G8M2;formalin;backscratching;6;3
paw;baseline;FH;G8M3;baseline;backscratching;1;0
paw;baseline;FH;G8M3;baseline;backscratching;2;0
paw;baseline;FH;G8M3;baseline;backscratching;3;0
paw;baseline;FH;G8M3;baseline;backscratching;4;0
paw;baseline;FH;G8M3;baseline;backscratching;5;0
paw;baseline;FH;G8M3;baseline;backscratching;6;0
paw;test;FH;G8M3;formalin;backscratching;1;0
paw;test;FH;G8M3;formalin;backscratching;2;5
paw;test;FH;G8M3;formalin;backscratching;3;0
paw;test;FH;G8M3;formalin;backscratching;4;1
paw;test;FH;G8M3;formalin;backscratching;5;0
paw;test;FH;G8M3;formalin;backscratching;6;0
paw;baseline;SH;G2F3;baseline;backscratching;1;1
paw;baseline;SH;G2F3;baseline;backscratching;2;0
paw;baseline;SH;G2F3;baseline;backscratching;3;0
paw;baseline;SH;G2F3;baseline;backscratching;4;2
paw;baseline;SH;G2F3;baseline;backscratching;5;0
paw;baseline;SH;G2F3;baseline;backscratching;6;6
paw;test;SH;G2F3;saline;backscratching;1;0
paw;test;SH;G2F3;saline;backscratching;2;0
paw;test;SH;G2F3;saline;backscratching;3;0
paw;test;SH;G2F3;saline;backscratching;4;1
paw;test;SH;G2F3;saline;backscratching;5;0
paw;test;SH;G2F3;saline;backscratching;6;0
paw;baseline;SH;G2F4;baseline;backscratching;1;0
paw;baseline;SH;G2F4;baseline;backscratching;2;2
paw;baseline;SH;G2F4;baseline;backscratching;3;1
paw;baseline;SH;G2F4;baseline;backscratching;4;1
paw;baseline;SH;G2F4;baseline;backscratching;5;5
paw;baseline;SH;G2F4;baseline;backscratching;6;1
paw;test;SH;G2F4;saline;backscratching;1;0
paw;test;SH;G2F4;saline;backscratching;2;0
paw;test;SH;G2F4;saline;backscratching;3;0
paw;test;SH;G2F4;saline;backscratching;4;0
paw;test;SH;G2F4;saline;backscratching;5;0
paw;test;SH;G2F4;saline;backscratching;6;1
paw;baseline;SH;G4F1;baseline;backscratching;1;0
paw;baseline;SH;G4F1;baseline;backscratching;2;0
paw;baseline;SH;G4F1;baseline;backscratching;3;0
paw;baseline;SH;G4F1;baseline;backscratching;4;0
paw;baseline;SH;G4F1;baseline;backscratching;5;2
paw;baseline;SH;G4F1;baseline;backscratching;6;1
paw;test;SH;G4F1;saline;backscratching;1;1
paw;test;SH;G4F1;saline;backscratching;2;8
paw;test;SH;G4F1;saline;backscratching;3;11
paw;test;SH;G4F1;saline;backscratching;4;20
paw;test;SH;G4F1;saline;backscratching;5;3
paw;test;SH;G4F1;saline;backscratching;6;1
paw;baseline;SH;G4F2;baseline;backscratching;1;0
paw;baseline;SH;G4F2;baseline;backscratching;2;0
paw;baseline;SH;G4F2;baseline;backscratching;3;0
paw;baseline;SH;G4F2;baseline;backscratching;4;0
paw;baseline;SH;G4F2;baseline;backscratching;5;0
paw;baseline;SH;G4F2;baseline;backscratching;6;3
paw;test;SH;G4F2;saline;backscratching;1;0
paw;test;SH;G4F2;saline;backscratching;2;0
paw;test;SH;G4F2;saline;backscratching;3;1
paw;test;SH;G4F2;saline;backscratching;4;3
paw;test;SH;G4F2;saline;backscratching;5;0
paw;test;SH;G4F2;saline;backscratching;6;2
paw;baseline;SH;G4F3;baseline;backscratching;1;0
paw;baseline;SH;G4F3;baseline;backscratching;2;0
paw;baseline;SH;G4F3;baseline;backscratching;3;1
paw;baseline;SH;G4F3;baseline;backscratching;4;0
paw;baseline;SH;G4F3;baseline;backscratching;5;0
paw;baseline;SH;G4F3;baseline;backscratching;6;1
paw;test;SH;G4F3;saline;backscratching;1;0
paw;test;SH;G4F3;saline;backscratching;2;0
paw;test;SH;G4F3;saline;backscratching;3;1
paw;test;SH;G4F3;saline;backscratching;4;2
paw;test;SH;G4F3;saline;backscratching;5;0
paw;test;SH;G4F3;saline;backscratching;6;0
paw;baseline;SH;G6M1;baseline;backscratching;1;0
paw;baseline;SH;G6M1;baseline;backscratching;2;0
paw;baseline;SH;G6M1;baseline;backscratching;3;0
paw;baseline;SH;G6M1;baseline;backscratching;4;0
paw;baseline;SH;G6M1;baseline;backscratching;5;0
paw;baseline;SH;G6M1;baseline;backscratching;6;0
paw;test;SH;G6M1;saline;backscratching;1;1
paw;test;SH;G6M1;saline;backscratching;2;10
paw;test;SH;G6M1;saline;backscratching;3;0
paw;test;SH;G6M1;saline;backscratching;4;4
paw;test;SH;G6M1;saline;backscratching;5;0
paw;test;SH;G6M1;saline;backscratching;6;2
paw;baseline;SH;G6M2;baseline;backscratching;1;0
paw;baseline;SH;G6M2;baseline;backscratching;2;0
paw;baseline;SH;G6M2;baseline;backscratching;3;0
paw;baseline;SH;G6M2;baseline;backscratching;4;0
paw;baseline;SH;G6M2;baseline;backscratching;5;0
paw;baseline;SH;G6M2;baseline;backscratching;6;0
paw;test;SH;G6M2;saline;backscratching;1;2
paw;test;SH;G6M2;saline;backscratching;2;1
paw;test;SH;G6M2;saline;backscratching;3;11
paw;test;SH;G6M2;saline;backscratching;4;1
paw;test;SH;G6M2;saline;backscratching;5;1
paw;test;SH;G6M2;saline;backscratching;6;0
paw;baseline;SH;G7M1;baseline;backscratching;1;0
paw;baseline;SH;G7M1;baseline;backscratching;2;0
paw;baseline;SH;G7M1;baseline;backscratching;3;0
paw;baseline;SH;G7M1;baseline;backscratching;4;0
paw;baseline;SH;G7M1;baseline;backscratching;5;0
paw;baseline;SH;G7M1;baseline;backscratching;6;0
paw;test;SH;G7M1;saline;backscratching;1;1
paw;test;SH;G7M1;saline;backscratching;2;4
paw;test;SH;G7M1;saline;backscratching;3;4
paw;test;SH;G7M1;saline;backscratching;4;2
paw;test;SH;G7M1;saline;backscratching;5;2
paw;test;SH;G7M1;saline;backscratching;6;6
paw;baseline;SH;G7M2;baseline;backscratching;1;0
paw;baseline;SH;G7M2;baseline;backscratching;2;0
paw;baseline;SH;G7M2;baseline;backscratching;3;0
paw;baseline;SH;G7M2;baseline;backscratching;4;3
paw;baseline;SH;G7M2;baseline;backscratching;5;2
paw;baseline;SH;G7M2;baseline;backscratching;6;0
paw;test;SH;G7M2;saline;backscratching;1;0
paw;test;SH;G7M2;saline;backscratching;2;0
paw;test;SH;G7M2;saline;backscratching;3;2
paw;test;SH;G7M2;saline;backscratching;4;0
paw;test;SH;G7M2;saline;backscratching;5;0
paw;test;SH;G7M2;saline;backscratching;6;0
paw;baseline;SH;G7M3;baseline;backscratching;1;0
paw;baseline;SH;G7M3;baseline;backscratching;2;0
paw;baseline;SH;G7M3;baseline;backscratching;3;1
paw;baseline;SH;G7M3;baseline;backscratching;4;0
paw;baseline;SH;G7M3;baseline;backscratching;5;0
paw;baseline;SH;G7M3;baseline;backscratching;6;1
paw;test;SH;G7M3;saline;backscratching;1;0
paw;test;SH;G7M3;saline;backscratching;2;0
paw;test;SH;G7M3;saline;backscratching;3;1
paw;test;SH;G7M3;saline;backscratching;4;0
paw;test;SH;G7M3;saline;backscratching;5;0
paw;test;SH;G7M3;saline;backscratching;6;0
neck;baseline;FN;510;baseline;nesting;1;20
neck;baseline;FN;510;baseline;nesting;2;24
neck;baseline;FN;510;baseline;nesting;3;13
neck;baseline;FN;510;baseline;nesting;4;24
neck;baseline;FN;510;baseline;nesting;5;17
neck;baseline;FN;510;baseline;nesting;6;14
neck;test;FN;510;formalin;nesting;1;0
neck;test;FN;510;formalin;nesting;2;0
neck;test;FN;510;formalin;nesting;3;0
neck;test;FN;510;formalin;nesting;4;0
neck;test;FN;510;formalin;nesting;5;0
neck;test;FN;510;formalin;nesting;6;0
neck;baseline;FN;511;baseline;nesting;1;1
neck;baseline;FN;511;baseline;nesting;2;0
neck;baseline;FN;511;baseline;nesting;3;0
neck;baseline;FN;511;baseline;nesting;4;0
neck;baseline;FN;511;baseline;nesting;5;0
neck;baseline;FN;511;baseline;nesting;6;22
neck;test;FN;511;formalin;nesting;1;0
neck;test;FN;511;formalin;nesting;2;0
neck;test;FN;511;formalin;nesting;3;0
neck;test;FN;511;formalin;nesting;4;0
neck;test;FN;511;formalin;nesting;5;0
neck;test;FN;511;formalin;nesting;6;0
neck;baseline;FN;512;baseline;nesting;1;23
neck;baseline;FN;512;baseline;nesting;2;3
neck;baseline;FN;512;baseline;nesting;3;2
neck;baseline;FN;512;baseline;nesting;4;0
neck;baseline;FN;512;baseline;nesting;5;0
neck;baseline;FN;512;baseline;nesting;6;0
neck;test;FN;512;formalin;nesting;1;0
neck;test;FN;512;formalin;nesting;2;0
neck;test;FN;512;formalin;nesting;3;1
neck;test;FN;512;formalin;nesting;4;0
neck;test;FN;512;formalin;nesting;5;0
neck;test;FN;512;formalin;nesting;6;0
neck;baseline;FN;513;baseline;nesting;1;11
neck;baseline;FN;513;baseline;nesting;2;6
neck;baseline;FN;513;baseline;nesting;3;5
neck;baseline;FN;513;baseline;nesting;4;7
neck;baseline;FN;513;baseline;nesting;5;1
neck;baseline;FN;513;baseline;nesting;6;3
neck;test;FN;513;formalin;nesting;1;0
neck;test;FN;513;formalin;nesting;2;0
neck;test;FN;513;formalin;nesting;3;0
neck;test;FN;513;formalin;nesting;4;0
neck;test;FN;513;formalin;nesting;5;0
neck;test;FN;513;formalin;nesting;6;0
neck;baseline;FN;519;baseline;nesting;1;4
neck;baseline;FN;519;baseline;nesting;2;12
neck;baseline;FN;519;baseline;nesting;3;7
neck;baseline;FN;519;baseline;nesting;4;10
neck;baseline;FN;519;baseline;nesting;5;10
neck;baseline;FN;519;baseline;nesting;6;2
neck;test;FN;519;formalin;nesting;1;0
neck;test;FN;519;formalin;nesting;2;0
neck;test;FN;519;formalin;nesting;3;0
neck;test;FN;519;formalin;nesting;4;0
neck;test;FN;519;formalin;nesting;5;0
neck;test;FN;519;formalin;nesting;6;0
neck;baseline;FN;G3F4;baseline;nesting;1;33
neck;baseline;FN;G3F4;baseline;nesting;2;31
neck;baseline;FN;G3F4;baseline;nesting;3;3
neck;baseline;FN;G3F4;baseline;nesting;4;0
neck;baseline;FN;G3F4;baseline;nesting;5;2
neck;baseline;FN;G3F4;baseline;nesting;6;0
neck;test;FN;G3F4;formalin;nesting;1;0
